inst_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
ins_892544034,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690171,m_2579,1,1,19,74,0.18,0.21
ins_845148779,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690093,m_1143,1,1,22,81,0.18,0.21
ins_763815129,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690085,m_649,1,1,27,91,0.18,0.21
ins_1062709294,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690120,m_2638,1,1,25,80,0.18,0.21
ins_126424544,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690039,m_2855,1,1,28,100,0.18,0.22
ins_1334934464,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690125,m_1995,1,1,23,93,0.18,0.21
ins_682473009,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690071,m_1649,1,1,26,79,0.18,0.21
ins_892545077,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690057,m_1768,1,1,28,82,0.18,0.21
ins_560927009,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690081,m_492,1,1,23,80,0.18,0.21
ins_72793303,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690126,m_3430,1,1,23,79,0.18,0.21
ins_981374387,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690095,m_1032,1,1,25,93,0.18,0.21
ins_763814790,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690049,m_3959,1,1,27,74,0.18,0.21
ins_1062708769,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690102,m_2433,1,1,26,84,0.18,0.21
ins_560928310,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690075,m_3534,1,1,26,83,0.18,0.21
ins_560926922,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690158,m_3352,1,1,19,78,0.18,0.22
ins_1251836097,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690103,m_3843,1,1,26,82,0.18,0.2
ins_398261739,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690069,m_2138,1,1,26,81,0.18,0.21
ins_926474655,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690079,m_2904,1,1,25,80,0.18,0.21
ins_1007796422,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690111,m_3064,1,1,22,75,0.18,0.21
ins_1062709624,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690071,m_3119,1,1,26,84,0.18,0.21
ins_763814870,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690068,m_2188,1,1,27,94,0.18,0.22
ins_892544172,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690037,m_242,1,1,28,82,0.18,0.21
ins_316912306,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690088,m_1541,1,1,26,92,0.18,0.21
ins_1163735698,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690033,m_330,1,1,27,73,0.18,0.21
ins_1334935047,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690061,m_3887,1,1,29,91,0.18,0.2
ins_1333196047,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690049,m_3669,1,1,28,93,0.18,0.21
ins_845140458,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690245,m_931,1,1,19,76,0.18,0.21
ins_398260764,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690098,m_3957,1,1,26,90,0.18,0.21
ins_1333187962,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690077,m_139,1,1,26,78,0.18,0.21
ins_892544236,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690020,m_3905,1,1,27,79,0.18,0.21
ins_235647998,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690147,m_1603,1,1,24,82,0.18,0.21
ins_479609557,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690133,m_2744,1,1,24,77,0.18,0.21
ins_316911997,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690029,m_1351,1,1,28,71,0.18,0.21
ins_46490688,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690071,m_2145,1,1,26,88,0.18,0.22
ins_892544105,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690049,m_3753,1,1,28,85,0.18,0.21
ins_1251835579,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690041,m_240,1,1,28,88,0.18,0.22
ins_763815367,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690091,m_301,1,1,24,70,0.18,0.21
ins_560928216,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690090,m_3485,1,1,26,92,0.18,0.22
ins_1062709041,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690129,m_393,1,1,25,200,0.18,0.2
ins_479610543,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690053,m_1362,1,1,26,88,0.18,0.21
ins_845148694,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690092,m_713,1,1,25,93,0.18,0.22
ins_926474450,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690073,m_919,1,1,26,80,0.18,0.2
ins_398261283,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690077,m_2236,1,1,26,76,0.18,0.21
ins_46490321,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690101,m_941,1,1,25,93,0.18,0.21
ins_1333196173,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690093,m_688,1,1,25,87,0.18,0.21
